stream_id,step_id,processed,exact,estimate,abs_err,rel_err
4,15,160000,33980.000000,33618.199938,361.800062,0.010647
4,16,170000,36061.000000,35620.898498,440.101502,0.012204
4,17,180000,38176.000000,37860.416809,315.583191,0.008267
4,18,190000,40211.000000,40044.321368,166.678632,0.004145
4,19,200000,42319.000000,41997.146448,321.853552,0.007605
5,0,10000,2134.000000,2141.974588,7.974588,0.003737
5,1,20000,4240.000000,4230.943761,9.056239,0.002136
5,2,30000,6380.000000,6234.359364,145.640636,0.022828
5,3,40000,8460.000000,8276.610444,183.389556,0.021677
5,4,50000,10598.000000,10673.221083,75.221083,0.007098
5,5,60000,12695.000000,12650.321983,44.678017,0.003519
5,6,70000,14852.000000,14771.723725,80.276275,0.005405
5,7,80000,16890.000000,16640.008311,249.991689,0.014801
5,8,90000,19015.000000,18726.917229,288.082771,0.015150
5,9,100000,21160.000000,20883.243192,276.756808,0.013079
5,10,110000,23284.000000,22994.728825,289.271175,0.012424
5,11,120000,25489.000000,25395.535164,93.464836,0.003667
5,12,130000,27603.000000,27594.788931,8.211069,0.000297
5,13,140000,29725.000000,29920.178534,195.178534,0.006566
5,14,150000,31824.000000,31754.071560,69.928440,0.002197
5,15,160000,33957.000000,33701.896972,255.103028,0.007513
5,16,170000,36058.000000,35759.210307,298.789693,0.008286
5,17,180000,38148.000000,37816.761723,331.238277,0.008683
5,18,190000,40250.000000,39859.886845,390.113155,0.009692
5,19,200000,42335.000000,42121.703589,213.296411,0.005038
6,0,10000,2178.000000,2143.661920,34.338080,0.015766
6,1,20000,4324.000000,4276.141461,47.858539,0.011068
6,2,30000,6427.000000,6336.416739,90.583261,0.014094
6,3,40000,8577.000000,8422.500280,154.499720,0.018013
6,4,50000,10665.000000,11006.628884,341.628884,0.032033
6,5,60000,12764.000000,12971.999529,207.999529,0.016296
6,6,70000,14845.000000,14994.437897,149.437897,0.010067
6,7,80000,17015.000000,17011.842892,3.157108,0.000186
6,8,90000,19105.000000,18954.265993,150.734007,0.007890
6,9,100000,21178.000000,21055.862108,122.137892,0.005767
6,10,110000,23321.000000,23225.978299,95.021701,0.004075
6,11,120000,25431.000000,25222.704072,208.295928,0.008191
6,12,130000,27611.000000,27437.311780,173.688220,0.006291
6,13,140000,29725.000000,29878.730550,153.730550,0.005172
6,14,150000,31810.000000,32075.470224,265.470224,0.008345
6,15,160000,33949.000000,34238.055459,289.055459,0.008514
6,16,170000,36040.000000,36315.734422,275.734422,0.007651
6,17,180000,38198.000000,38393.924441,195.924441,0.005129
6,18,190000,40206.000000,40298.048702,92.048702,0.002289
6,19,200000,42314.000000,42623.072993,309.072993,0.007304
7,0,10000,2187.000000,2174.153376,12.846624,0.005874
7,1,20000,4319.000000,4216.921152,102.078848,0.023635
7,2,30000,6432.000000,6378.911644,53.088356,0.008254
7,3,40000,8597.000000,8541.463143,55.536857,0.006460
7,4,50000,10711.000000,10906.814456,195.814456,0.018282
7,5,60000,12829.000000,12996.411738,167.411738,0.013049
7,6,70000,14930.000000,15091.720049,161.720049,0.010832
7,7,80000,17083.000000,17044.585725,38.414275,0.002249
7,8,90000,19148.000000,19116.590649,31.409351,0.001640
7,9,100000,21260.000000,21123.355161,136.644839,0.006427
7,10,110000,23417.000000,23436.415783,19.415783,0.000829
7,11,120000,25478.000000,25469.609748,8.390252,0.000329
7,12,130000,27558.000000,27392.744254,165.255746,0.005997
7,13,140000,29685.000000,29464.754467,220.245533,0.007419
7,14,150000,31741.000000,31418.519847,322.480153,0.010160
7,15,160000,33791.000000,33695.665225,95.334775,0.002821
7,16,170000,35898.000000,35750.672790,147.327210,0.004104
7,17,180000,37970.000000,37786.802477,183.197523,0.004825
7,18,190000,40064.000000,40111.908776,47.908776,0.001196
7,19,200000,42187.000000,42470.935735,283.935735,0.006730
8,0,10000,2141.000000,2152.109026,11.109026,0.005189
8,1,20000,4280.000000,4330.469657,50.469657,0.011792
8,2,30000,6439.000000,6494.435165,55.435165,0.008609
8,3,40000,8552.000000,8722.440371,170.440371,0.019930
8,4,50000,10641.000000,11085.821968,444.821968,0.041803
8,5,60000,12800.000000,13177.273436,377.273436,0.029474
8,6,70000,14924.000000,15193.480123,269.480123,0.018057
8,7,80000,17007.000000,17160.019983,153.019983,0.008997
8,8,90000,19090.000000,19228.299966,138.299966,0.007245
8,9,100000,21126.000000,21199.487103,73.487103,0.003479
8,10,110000,23227.000000,23577.091596,350.091596,0.015073
8,11,120000,25299.000000,25447.223822,148.223822,0.005859
8,12,130000,27444.000000,27558.050693,114.050693,0.004156
8,13,140000,29547.000000,30019.646374,472.646374,0.015996
8,14,150000,31663.000000,32396.901505,733.901505,0.023179
8,15,160000,33838.000000,34429.301544,591.301544,0.017474
8,16,170000,35905.000000,36368.099868,463.099868,0.012898
8,17,180000,37979.000000,38469.116198,490.116198,0.012905
8,18,190000,40058.000000,40423.631896,365.631896,0.009128
8,19,200000,42242.000000,42376.281598,134.281598,0.003179
9,0,10000,2134.000000,2128.500891,5.499109,0.002577
9,1,20000,4239.000000,4273.301946,34.301946,0.008092
9,2,30000,6333.000000,6336.416739,3.416739,0.000540
9,3,40000,8534.000000,8438.163779,95.836221,0.011230
9,4,50000,10625.000000,10827.872936,202.872936,0.019094
9,5,60000,12731.000000,12872.323704,141.323704,0.011101
9,6,70000,14795.000000,15054.739455,259.739455,0.017556
9,7,80000,16868.000000,16833.000683,34.999317,0.002075
9,8,90000,18988.000000,18734.525475,253.474525,0.013349
9,9,100000,21179.000000,20938.592650,240.407350,0.011351
9,10,110000,23265.000000,22814.813143,450.186857,0.019350
9,11,120000,25406.000000,24916.237850,489.762150,0.019277
9,12,130000,27525.000000,26875.850508,649.149492,0.023584
9,13,140000,29646.000000,29049.783569,596.216431,0.020111
9,14,150000,31693.000000,31162.716148,530.283852,0.016732
9,15,160000,33779.000000,33665.769789,113.230211,0.003352
9,16,170000,35904.000000,35580.505725,323.494275,0.009010
9,17,180000,38099.000000,37885.944994,213.055006,0.005592
9,18,190000,40231.000000,40190.044352,40.955648,0.001018
9,19,200000,42348.000000,42742.165163,394.165163,0.009308
10,0,10000,2164.000000,2150.418210,13.581790,0.006276
10,1,20000,4236.000000,4211.325523,24.674477,0.005825
10,2,30000,6415.000000,6294.358183,120.641817,0.018806
10,3,40000,8547.000000,8269.074104,277.925896,0.032517
10,4,50000,10611.000000,10759.182078,148.182078,0.013965
10,5,60000,12621.000000,12739.777475,118.777475,0.009411
10,6,70000,14758.000000,14890.496857,132.496857,0.008978
10,7,80000,16890.000000,17007.247508,117.247508,0.006942
10,8,90000,18994.000000,19102.829588,108.829588,0.005730
10,9,100000,21122.000000,21057.002179,64.997821,0.003077
10,10,110000,23134.000000,22956.634838,177.365162,0.007667
10,11,120000,25272.000000,25021.210354,250.789646,0.009924
10,12,130000,27432.000000,27180.851391,251.148609,0.009155
10,13,140000,29534.000000,29310.611258,223.388742,0.007564
10,14,150000,31571.000000,31391.400286,179.599714,0.005689
10,15,160000,33675.000000,33452.104010,222.895990,0.006619
10,16,170000,35744.000000,35727.652739,16.347261,0.000457
10,17,180000,37835.000000,38025.492250,190.492250,0.005035
10,18,190000,39926.000000,40111.418580,185.418580,0.004644
10,19,200000,42078.000000,42146.883187,68.883187,0.001637
11,0,10000,2163.000000,2155.492752,7.507248,0.003471
11,1,20000,4364.000000,4316.102754,47.897246,0.010976
11,2,30000,6403.000000,6369.430158,33.569842,0.005243
11,3,40000,8533.000000,8485.516907,47.483093,0.005565
11,4,50000,10690.000000,10963.682520,273.682520,0.025602
11,5,60000,12897.000000,13108.238081,211.238081,0.016379
11,6,70000,15010.000000,15312.466801,302.466801,0.020151
11,7,80000,17084.000000,17298.756951,214.756951,0.012571
11,8,90000,19187.000000,19334.519025,147.519025,0.007688
11,9,100000,21347.000000,21508.388125,161.388125,0.007560
11,10,110000,23503.000000,23797.378526,294.378526,0.012525
11,11,120000,25619.000000,25887.336379,268.336379,0.010474
11,12,130000,27746.000000,27902.928116,156.928116,0.005656
11,13,140000,29743.000000,29949.089590,206.089590,0.006929
11,14,150000,31879.000000,31882.111795,3.111795,0.000098
11,15,160000,34044.000000,34194.317580,150.317580,0.004415
11,16,170000,36102.000000,36241.350333,139.350333,0.003860
11,17,180000,38240.000000,38590.823019,350.823019,0.009174
11,18,190000,40331.000000,40718.825827,387.825827,0.009616
11,19,200000,42401.000000,42744.448703,343.448703,0.008100
12,0,10000,2160.000000,2218.601225,58.601225,0.027130
12,1,20000,4314.000000,4356.457760,42.457760,0.009842
12,2,30000,6509.000000,6563.359868,54.359868,0.008351
12,3,40000,8659.000000,8622.735651,36.264349,0.004188
12,4,50000,10740.000000,10902.403439,162.403439,0.015121
12,5,60000,12826.000000,12839.911059,13.911059,0.001085
12,6,70000,14974.000000,14922.281082,51.718918,0.003454
12,7,80000,17074.000000,17090.735894,16.735894,0.000980
12,8,90000,19226.000000,19298.892641,72.892641,0.003791
12,9,100000,21304.000000,21489.655409,185.655409,0.008715
12,10,110000,23372.000000,23388.850088,16.850088,0.000721
12,11,120000,25546.000000,25530.869848,15.130152,0.000592
